"Date","Time","Open","High","Low","Close","Vol","OI","Vol","VolAvg"
09/17/1976,16:00,104.65,106.81,103.28,106.27,97119,0,97119.00,0.00
09/24/1976,16:00,106.27,108.72,105.74,106.80,126624,0,126624.00,0.00
10/01/1976,16:00,106.80,107.70,103.60,104.17,91289,0,91289.00,0.00
10/08/1976,16:00,104.17,104.62,102.05,102.56,89241,0,89241.00,0.00
10/15/1976,16:00,102.48,102.48,100.02,100.88,89345,0,89345.00,0.00
10/22/1976,16:00,100.88,102.32,99.24,99.96,83613,0,83613.00,0.00
10/29/1976,16:00,99.96,103.10,99.21,102.90,78538,0,78538.00,0.00
11/05/1976,16:00,102.90,103.78,100.48,100.82,80213,0,80213.00,0.00
11/12/1976,16:00,100.62,100.62,98.18,99.24,83411,0,83411.00,0.00
11/19/1976,16:00,99.24,102.77,98.53,101.92,106181,0,106181.00,0.00
11/26/1976,16:00,101.92,103.51,101.41,103.15,75448,0,75448.00,0.00
12/03/1976,16:00,103.15,103.46,101.46,102.76,103685,0,103685.00,0.00
12/10/1976,16:00,102.76,105.36,102.53,104.70,133300,0,133300.00,0.00
12/17/1976,16:00,104.70,105.89,103.80,104.26,126070,0,126070.00,0.00
12/24/1976,16:00,104.26,105.59,102.99,104.84,96609,0,96609.00,0.00
12/31/1976,16:00,104.84,107.82,104.58,107.46,110701,0,110701.00,0.00
01/07/1977,16:00,107.46,107.97,104.30,105.01,114681,0,114681.00,0.00
01/14/1977,16:00,105.01,105.75,102.75,104.01,116894,0,116894.00,0.00
01/21/1977,16:00,104.01,104.45,102.35,103.32,123006,0,123006.00,0.00
01/28/1977,16:00,103.32,104.08,101.08,101.93,124121,0,124121.00,0.00
02/04/1977,16:00,101.93,103.32,100.91,101.88,119243,0,119243.00,0.00
02/11/1977,16:00,101.88,102.65,99.74,100.22,111241,0,111241.00,0.00
02/18/1977,16:00,100.22,102.22,99.51,100.49,101370,0,101370.00,0.00
02/25/1977,16:00,100.49,101.22,98.82,99.48,73325,0,73325.00,0.00
03/04/1977,16:00,99.48,101.67,98.91,101.20,90223,0,90223.00,0.00
03/11/1977,16:00,101.20,101.85,99.49,100.65,93460,0,93460.00,0.00
03/18/1977,16:00,100.65,102.70,100.24,101.86,105979,0,105979.00,0.00
03/25/1977,16:00,101.86,102.13,98.71,99.06,92271,0,92271.00,0.00
04/01/1977,16:00,99.06,100.12,97.80,99.21,86103,0,86103.00,0.00
04/08/1977,16:00,99.21,99.50,97.43,98.35,68415,0,68415.00,0.00
04/15/1977,16:00,98.35,102.07,98.08,101.04,113929,0,113929.00,0.00
04/22/1977,16:00,101.04,101.36,98.08,98.44,105867,0,105867.00,0.00
04/29/1977,16:00,98.32,98.87,96.53,98.44,97759,0,97759.00,0.00
05/06/1977,16:00,98.44,100.79,97.97,99.49,106093,0,106093.00,0.00
05/13/1977,16:00,99.49,100.09,97.91,99.03,97065,0,97065.00,0.00
05/20/1977,16:00,99.03,100.93,98.58,99.45,111480,0,111480.00,0.00
05/27/1977,16:00,99.35,99.35,95.92,96.27,93415,0,93415.00,0.00
06/03/1977,16:00,96.27,98.12,95.52,97.69,75072,0,75072.00,0.00
06/10/1977,16:00,97.69,98.86,96.60,98.46,102810,0,102810.00,0.00
06/17/1977,16:00,98.46,100.47,98.06,99.97,114554,0,114554.00,0.00
06/24/1977,16:00,99.97,101.65,99.56,101.19,128579,0,128579.00,0.00
07/01/1977,16:00,101.19,101.63,99.30,100.10,99102,0,99102.00,0.00
07/08/1977,16:00,100.10,100.72,99.12,99.79,83652,0,83652.00,0.00
07/15/1977,16:00,99.79,100.68,98.81,100.18,94544,0,94544.00,0.00
07/22/1977,16:00,100.18,102.57,99.94,101.67,138205,0,138205.00,0.00
07/29/1977,16:00,101.67,101.85,97.71,98.85,114966,0,114966.00,0.00
08/05/1977,16:00,98.85,99.84,97.53,98.76,95765,0,95765.00,0.00
08/12/1977,16:00,98.76,99.45,97.31,97.88,92654,0,92654.00,0.00
08/19/1977,16:00,97.88,98.69,96.78,97.51,97848,0,97848.00,0.00
08/26/1977,16:00,97.51,98.52,95.04,96.06,94206,0,94206.00,0.00
09/02/1977,16:00,96.06,97.76,95.59,97.45,87020,0,87020.00,0.00
09/09/1977,16:00,97.45,98.43,95.97,96.37,70603,0,70603.00,0.00
09/16/1977,16:00,96.37,97.31,95.37,96.48,87511,0,87511.00,0.00
09/23/1977,16:00,96.48,96.59,94.51,95.04,93545,0,93545.00,0.00
09/30/1977,16:00,95.04,96.85,94.44,96.53,97604,0,97604.00,0.00
10/07/1977,16:00,96.53,97.27,95.20,95.97,93371,0,93371.00,0.00
10/14/1977,16:00,95.97,96.15,92.88,93.56,95168,0,95168.00,0.00
10/21/1977,16:00,93.56,94.19,91.60,92.32,100248,0,100248.00,0.00
10/28/1977,16:00,92.32,93.15,90.20,92.61,107665,0,107665.00,0.00
11/04/1977,16:00,92.61,93.03,90.01,91.58,94790,0,94790.00,0.00
11/11/1977,16:00,91.58,96.49,91.32,95.98,129055,0,129055.00,0.00
11/18/1977,16:00,95.98,96.47,94.59,95.33,124967,0,124967.00,0.00
11/25/1977,16:00,95.33,97.11,94.59,96.69,95774,0,95774.00,0.00
12/02/1977,16:00,96.69,96.98,93.78,94.67,112582,0,112582.00,0.00
12/09/1977,16:00,94.67,95.01,92.15,93.65,103595,0,103595.00,0.00
12/16/1977,16:00,93.65,94.42,92.90,93.40,101669,0,101669.00,0.00
12/23/1977,16:00,93.40,94.99,91.76,94.69,117096,0,117096.00,0.00
